File Path,Part,TargetClockPeriod,Best-caseLatency,BRAM_18K,LUT,DSP,FF
../PolyBench/linear-algebra/solvers/trisolv/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,38001,0,1296,11,1358
../PolyBench/linear-algebra/solvers/ludcmp/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,74003,0,2688,12,3011
../PolyBench/linear-algebra/solvers/cholesky/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,32001,0,3004,22,2825
../PolyBench/linear-algebra/solvers/gramschmidt/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,9672001,0,2261,11,2244
../PolyBench/linear-algebra/solvers/durbin/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,99952,0,1978,19,1950
../PolyBench/linear-algebra/solvers/lu/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,18001,0,2454,13,2297
../PolyBench/linear-algebra/kernels/2mm/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,5780160017,0,2089,16,2289
../PolyBench/linear-algebra/kernels/doitgen/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,2154096001,0,1614,12,1268
../PolyBench/linear-algebra/kernels/atax/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,16003904,0,1498,11,1490
../PolyBench/linear-algebra/kernels/bicg/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,15961916,0,1463,12,1585
../PolyBench/linear-algebra/kernels/3mm/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,7920000025,0,3359,31,3350
../PolyBench/linear-algebra/kernels/mvt/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,24048002,0,1689,11,1983
../PolyBench/linear-algebra/blas/gemm/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,1321125001,0,1639,20,1942
../PolyBench/linear-algebra/blas/gesummv/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,6760020,0,1573,12,2184
../PolyBench/linear-algebra/blas/trmm/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,33600001,0,1601,14,1519
../PolyBench/linear-algebra/blas/gemver/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,28066022,0,3086,23,3756
../PolyBench/linear-algebra/blas/symm/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,31200001,0,1761,22,2120
../PolyBench/linear-algebra/blas/syr2k/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,4840801,0,1842,13,2063
../PolyBench/linear-algebra/blas/syrk/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,4831201,0,1655,13,1727
../PolyBench/datamining/covariance/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,13470030,0,2883,17,2641
../PolyBench/datamining/correlation/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,18538237,0,2940,14,2926
../PolyBench/stencils/jacobi-2d/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,5054435001,0,2813,20,2807
../PolyBench/stencils/heat-3d/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,6572159001,0,5177,17,4922
../PolyBench/stencils/jacobi-1d/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,4009001,0,1489,11,1390
../PolyBench/stencils/seidel-2d/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,71869059001,0,1752,6,1574
../PolyBench/stencils/fdtd-2d/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,1798433001,0,4447,25,4028
../PolyBench/stencils/adi/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,24924552501,0,2931,17,3025
../PolyBench/medley/deriche/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,300810321,1,7269,28,4109
../PolyBench/medley/floyd-warshall/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,43904000006,0,644,2,307
../PolyBench/medley/nussinov/design_0/solution1/syn/report/csynth.xml,xcu280-fsvh2892-2L-e,10.00,40001,0,1068,3,502
